Compound,SHAP
BDQ+LIN,-0.001579622315209868
MOX+RIF,-0.0016065507502352773
INH+PZA,-0.00315903098930656
BDQ+PRE,-0.00003441034290850989
BDQ+LIN+PRE,-0.0016860282427153814
PZA+RIF,0.0025680601244834978
BDQ+LIN+PRE,-0.0007924937659553339
MOX+RIF,-0.002292827157869428
BDQ+DEL,-0.004973360016598422
EMB+INH+PZA+RIF,0.0030866425554239465
INH+PZA,-0.003211437359035373
MOX+RIF,-0.005132185080119721
LIN+PRE,0.001994237258146331
BDQ+PRE,0.0008511675209314649
BDQ+DEL,-0.0027667160969405123
PZA+RIF,0.0022629718070550464
MOX+RIF,-0.0035279655453943357
BDQ+DEL,-0.009208145095476268
PZA+RIF,0.0028784908254098594
EMB+INH+PZA+RIF,0.009914330315156079
BDQ+PRE,0.00018458043768142897
BDQ+LIN+PRE,-0.0011013547799717074
LIN+PRE,-0.0005094087341219011
PZA+RIF,0.0032752283888803926
LIN+PRE,0.0028192856569618664
INH+PZA,-0.003896709207849773
BDQ+LIN,0.002372971192234066
EMB+MOX+PZA+RIF,0.006767928237632344
BDQ+DEL,-0.0014020601947412194
MOX+RIF,-0.0018508802193334044
INH+PZA,-0.010152654344340154
INH+PZA,-0.004546865074246324
EMB+MOX+PZA+RIF,0.0068917214109370595
BDQ+PRE,-0.0018378381781617617
BDQ+PRE,-0.0047008110262412705
LIN+PRE,0.012124839301749823
MOX+RIF,-0.002316423772747788
EMB+INH+PZA+RIF,0.008183867011595082
PZA+RIF,0.002466411015798478
EMB+INH+PZA+RIF,0.0018336446206494786
EMB+MOX+PZA+RIF,0.005036430074882671
LIN+PRE,-0.000266243890113066
PZA+RIF,0.00454828152296182
INH+PZA,-0.005916448281157603
EMB+MOX+PZA+RIF,0.010268783971399707
BDQ+PRE,0.0013488521375391485
BDQ+PRE,0.00047653574092415226
EMB+INH+PZA+RIF,0.0022779368735420763
EMB+MOX+PZA+RIF,0.006200474208807293
BDQ+LIN,0.0009157723266977597
BDQ+LIN,0.0023066735363896054
MOX+RIF,-0.002641606821843733
EMB+MOX+PZA+RIF,0.004951961584087796
BDQ+LIN,0.0017481833826984853
BDQ+DEL,-0.003351845986158381
MOX+RIF,-0.003347534088108028
EMB+INH+PZA+RIF,-0.00001696607037372999
BDQ+PRE,0.00031010149854022225
BDQ+PRE,0.0013413238988101695
BDQ+DEL,-0.0004466131444553456
MOX+RIF,-0.002178446521452748
BDQ+LIN+PRE,-0.00419070284016244
EMB+INH+PZA+RIF,0.0016337930637296896
LIN+PRE,0.0025611960962907045
PZA+RIF,0.0022594398042836347
BDQ+PRE,-0.0007944324570120569
EMB+MOX+PZA+RIF,0.002903538494148989
MOX+RIF,-0.005532914361130006
BDQ+LIN,0.0031225822051048984
BDQ+DEL,-0.0032289694344402545
BDQ+LIN,0.00035447579452923796
BDQ+LIN,0.0015767715793106832
BDQ+LIN+PRE,-0.00602589155559272
INH+PZA,-0.0034706917073124336
PZA+RIF,0.0031706595849103425
INH+PZA,-0.007147980267418632
BDQ+LIN+PRE,-0.00021714961350018883
EMB+MOX+PZA+RIF,0.005029278066967676
MOX+RIF,-0.006229480463584059
BDQ+PRE,0.00011621341025932474
BDQ+LIN,0.0036395576191010906
MOX+RIF,-0.0021692653957083624
BDQ+PRE,0.0003633149137303629
INH+PZA,-0.0036953294436127397
BDQ+LIN,-0.004249383662902622
INH+PZA,-0.006482625302374274
EMB+MOX+PZA+RIF,0.0001445144196668789
INH+PZA,-0.006881497671798545
BDQ+DEL,-0.008267388478384938
BDQ+PRE,-0.004508101030005205
BDQ+LIN+PRE,-0.004436052813499033
INH+PZA,-0.0058849596291791805
EMB+MOX+PZA+RIF,0.005616086135846641
EMB+INH+PZA+RIF,0.012736682890927538
BDQ+PRE,0.0018708768972830092
INH+PZA,-0.004858752288177536
BDQ+LIN,0.004890528895465382
EMB+MOX+PZA+RIF,0.007428601653563595
BDQ+LIN+PRE,-0.004242630996751256
BDQ+LIN,-0.0008785993797132499
INH+PZA,-0.0033475649078167163
EMB+MOX+PZA+RIF,0.003742076016194869
BDQ+LIN,0.0020735332310991665
BDQ+DEL,-0.0024016726176066755
PZA+RIF,0.0024767903447158947
MOX+RIF,-0.0028978622874572466
BDQ+DEL,-0.0008680552392354056
BDQ+LIN,0.0013577656593007437
PZA+RIF,0.0036173593279956065
PZA+RIF,0.0031616039859180324
LIN+PRE,0.0031803367815339384
BDQ+DEL,-0.011134295627194679
BDQ+LIN,0.002881913815097936
EMB+MOX+PZA+RIF,0.010897761219750009
LIN+PRE,0.0006340508718419857
PZA+RIF,0.0023553004123217794
LIN+PRE,0.005722117036036859
EMB+MOX+PZA+RIF,0.006921771548286698
BDQ+DEL,-0.0066883462303256045
BDQ+LIN+PRE,-0.001514255002287675
EMB+MOX+PZA+RIF,0.004642685562214432
LIN+PRE,0.0019405743672409172
MOX+RIF,-0.003920860675593649
BDQ+DEL,-0.010288683518860227
PZA+RIF,0.00227545505315548
LIN+PRE,-0.0020243743696434693
BDQ+PRE,0.004646969694154893
LIN+PRE,0.0014706393977995382
BDQ+PRE,0.00027434404489784926
BDQ+LIN+PRE,0.0024082841672407526
INH+PZA,-0.003342923187740275
BDQ+LIN,0.003030427018444849
EMB+MOX+PZA+RIF,0.00610156456899831
BDQ+LIN,0.0028030307436332207
LIN+PRE,-0.0013693509190661514
LIN+PRE,-0.0010642429440881197
BDQ+PRE,0.00034472249844510485
BDQ+LIN,0.0021343062776947256
MOX+RIF,-0.00991542586383208
BDQ+LIN+PRE,-0.004414897967600186
EMB+INH+PZA+RIF,0.0014117161655701354
LIN+PRE,0.0013623935526029115
BDQ+LIN+PRE,-0.0011459936757061912
LIN+PRE,0.0019287643164504211
BDQ+DEL,-0.0017078634424852965
EMB+MOX+PZA+RIF,0.0049354931149594205
BDQ+LIN+PRE,-0.001397116259606302
INH+PZA,-0.003319790725393033
PZA+RIF,0.014345664579529294
LIN+PRE,0.002792029426478125
PZA+RIF,0.005342638034257436
BDQ+LIN+PRE,-0.003834830780914928
BDQ+PRE,-0.0001675611944229406
BDQ+LIN,-0.0015203695165103444
BDQ+DEL,-0.003122029088998297
EMB+MOX+PZA+RIF,0.00618325882560483
EMB+INH+PZA+RIF,0.0014950441047649843
BDQ+PRE,0.0018965626962571215
PZA+RIF,0.004060257902886951
PZA+RIF,0.003236926414978125
EMB+INH+PZA+RIF,0.0018583240840898368
BDQ+DEL,-0.0017613538263621762
BDQ+DEL,-0.0030172310482135365
BDQ+LIN+PRE,-0.005043532085360816
MOX+RIF,-0.0020136520725576616
INH+PZA,-0.007856598117151675
BDQ+DEL,-0.004564067713195702
MOX+RIF,0.0005765355173828022
BDQ+PRE,0.0025152585813066567
MOX+RIF,0.00048549411351433535
INH+PZA,-0.006727798449244901
MOX+RIF,-0.0027468461275380685
PZA+RIF,0.0028637770014141666
BDQ+PRE,0.00014755487976934753
BDQ+LIN+PRE,-0.0002892925107791289
EMB+MOX+PZA+RIF,0.005981751055514448
BDQ+LIN+PRE,0.0013448398292795437
MOX+RIF,-0.0025947293081033706
PZA+RIF,0.0035169219147874924
MOX+RIF,-0.004300662455532709
BDQ+LIN+PRE,-0.005623869247053512
BDQ+LIN+PRE,-0.001491596807684728
EMB+INH+PZA+RIF,0.0024030181756238213
BDQ+LIN,0.0009563420435018666
BDQ+LIN+PRE,-0.0019057982632464552
LIN+PRE,0.0017321774507132908
PZA+RIF,0.0006259865968606644
MOX+RIF,-0.00243397757328183
INH+PZA,-0.007061904129625522
BDQ+LIN,0.0001107760737417649
LIN+PRE,-0.001134046139766906
PZA+RIF,0.0013539634289457857
BDQ+DEL,-0.0005009277062615667
BDQ+LIN+PRE,-0.0008327924697943083
LIN+PRE,-0.0007993227621275818
INH+PZA,-0.012361129442865893
LIN+PRE,0.0023288667759113614
EMB+MOX+PZA+RIF,0.0020018905173155303
EMB+INH+PZA+RIF,0.0016881873274271415
EMB+MOX+PZA+RIF,0.003271770262930969
EMB+INH+PZA+RIF,0.010175673021387483
BDQ+PRE,-0.000324678530393689
EMB+MOX+PZA+RIF,0.00926822040265408
PZA+RIF,0.003612856812308818
BDQ+LIN,0.0037540326662267036
MOX+RIF,-0.006449310004790968
BDQ+PRE,0.00014551818674260039
EMB+MOX+PZA+RIF,0.0046594346414196176
BDQ+DEL,-0.0021555613328966268
EMB+INH+PZA+RIF,0.00673610282224292
MOX+RIF,-0.003064875617344079
EMB+MOX+PZA+RIF,-0.00045950758207523193
