Compound,SHAP
BDQ+LIN,-0.0017997337175013155
MOX+RIF,0.0037895579461954404
INH+PZA,0.0007681697453206032
BDQ+PRE,-0.0034882463335805447
BDQ+LIN+PRE,-0.006835442647130937
PZA+RIF,0.003426056434927272
BDQ+LIN+PRE,-0.0026713605682689868
MOX+RIF,0.005663610261376068
BDQ+DEL,-0.0035687331213631254
EMB+INH+PZA+RIF,-0.0013421608392894754
INH+PZA,-0.0024004641498602394
MOX+RIF,-0.001387290192875817
LIN+PRE,0.002777719197764007
BDQ+PRE,-0.005694879618929817
BDQ+DEL,-0.000700996703267054
PZA+RIF,0.0014048569880368564
MOX+RIF,-0.0010765436324766257
BDQ+DEL,-0.0075011852044824644
PZA+RIF,0.0028418570735109696
EMB+INH+PZA+RIF,-0.0013234356069642714
BDQ+PRE,-0.006537945706732693
BDQ+LIN+PRE,-0.005669187032178579
LIN+PRE,0.004154087998882862
PZA+RIF,0.007104458047122521
LIN+PRE,0.0065605192656895996
INH+PZA,-0.0007411866589278025
BDQ+LIN,-0.009916408626566403
EMB+MOX+PZA+RIF,0.00406536617925216
BDQ+DEL,-0.00234692757337951
MOX+RIF,0.003546480419020359
INH+PZA,-0.0004524454426042385
INH+PZA,-0.00027393526055029206
EMB+MOX+PZA+RIF,0.0024975796478764866
BDQ+PRE,-0.00283827400122908
BDQ+PRE,-0.006934222071648494
LIN+PRE,0.0036229386231340734
MOX+RIF,0.006525317399961876
EMB+INH+PZA+RIF,0.0015830278032823175
PZA+RIF,0.0027297361091475295
EMB+INH+PZA+RIF,-0.0028363436340827436
EMB+MOX+PZA+RIF,0.009056393924978923
LIN+PRE,0.008294964356059469
PZA+RIF,0.0060108108278977635
INH+PZA,0.0026021353452099247
EMB+MOX+PZA+RIF,0.004103266959212928
BDQ+PRE,-0.0038892235832317713
BDQ+PRE,0.0003956711446548243
EMB+INH+PZA+RIF,-0.005030478632212175
EMB+MOX+PZA+RIF,0.007660987639369388
BDQ+LIN,-0.004307741873954315
BDQ+LIN,-0.010339307037841737
MOX+RIF,0.0008712238000105879
EMB+MOX+PZA+RIF,0.0038435255540996585
BDQ+LIN,-0.005693505793009691
BDQ+DEL,-0.00616635754027431
MOX+RIF,0.0017287979078488371
EMB+INH+PZA+RIF,-0.0026747971653866554
BDQ+PRE,-0.002232110227553587
BDQ+PRE,-0.005091142281028899
BDQ+DEL,-0.00077651280697483
MOX+RIF,0.0003453495151487551
BDQ+LIN+PRE,-0.0025729548421453813
EMB+INH+PZA+RIF,0.002181765203738528
LIN+PRE,0.000800581382270276
PZA+RIF,0.005840629363726492
BDQ+PRE,-0.006171559061896254
EMB+MOX+PZA+RIF,0.0071093494117635565
MOX+RIF,0.0007034467582269962
BDQ+LIN,-0.004816485219088996
BDQ+DEL,-0.005907048279794847
BDQ+LIN,-0.010306203075670147
BDQ+LIN,-0.002349842404480617
BDQ+LIN+PRE,-0.0019864629630677914
INH+PZA,0.0008869790871315754
PZA+RIF,-0.0006177507801569073
INH+PZA,0.0015185442498113755
BDQ+LIN+PRE,-0.007254629307129568
EMB+MOX+PZA+RIF,0.00783001705316863
MOX+RIF,0.002057537463627067
BDQ+PRE,-0.005608174666085074
BDQ+LIN,-0.0061199623800892765
MOX+RIF,0.00007491951938385883
BDQ+PRE,-0.001952569426002311
INH+PZA,0.000639260032040594
BDQ+LIN,-0.006523858863512739
INH+PZA,-0.0018943123704541383
EMB+MOX+PZA+RIF,0.0017388948393257824
INH+PZA,-0.003880651544833644
BDQ+DEL,-0.007371695719074537
BDQ+PRE,-0.005160946684773428
BDQ+LIN+PRE,-0.005238258984970646
INH+PZA,0.001712764983233303
EMB+MOX+PZA+RIF,0.005387417603827854
EMB+INH+PZA+RIF,-0.0007841650651689689
BDQ+PRE,0.0025890577378182237
INH+PZA,0.0026164440714092534
BDQ+LIN,-0.004271339952378752
EMB+MOX+PZA+RIF,0.009938503894169962
BDQ+LIN+PRE,-0.01003775594225299
BDQ+LIN,-0.00951615720342486
INH+PZA,0.0005708347866023385
EMB+MOX+PZA+RIF,0.004380074834159402
BDQ+LIN,-0.0036413671792493167
BDQ+DEL,-0.004695998289704287
PZA+RIF,0.005846690811909267
MOX+RIF,0.0058679088452725636
BDQ+DEL,-0.0035364439163309155
BDQ+LIN,-0.005469237977041844
PZA+RIF,0.00661173060579419
PZA+RIF,0.0007389539510515631
LIN+PRE,0.00329047086887427
BDQ+DEL,-0.010520537302105212
BDQ+LIN,-0.003472697132893141
EMB+MOX+PZA+RIF,0.009040909509194811
LIN+PRE,0.003090042539511524
PZA+RIF,0.0029075082555747047
LIN+PRE,0.009636880491735592
EMB+MOX+PZA+RIF,0.005268221983895851
BDQ+DEL,-0.007687579177469492
BDQ+LIN+PRE,-0.002906070652651499
EMB+MOX+PZA+RIF,0.01146727198730636
LIN+PRE,0.002408252866027439
MOX+RIF,0.007171448852870367
BDQ+DEL,-0.006005858430938326
PZA+RIF,0.0021936840148679203
LIN+PRE,0.004899321434936666
BDQ+PRE,-0.0003967074378299713
LIN+PRE,0.00262637355272069
BDQ+PRE,-0.0003077806930380624
BDQ+LIN+PRE,-0.0008117687443759715
INH+PZA,-0.0065562007120945585
BDQ+LIN,-0.006898129888409444
EMB+MOX+PZA+RIF,0.011458817157272778
BDQ+LIN,-0.0038851634484573234
LIN+PRE,0.008957667655538388
LIN+PRE,0.002297347318081565
BDQ+PRE,-0.001723969602967728
BDQ+LIN,-0.006185344592167818
MOX+RIF,-0.0023456229143311758
BDQ+LIN+PRE,-0.0017991395767025314
EMB+INH+PZA+RIF,-0.0013860646699319229
LIN+PRE,0.0022703265017448597
BDQ+LIN+PRE,-0.0061325457937059895
LIN+PRE,0.007358580912022974
BDQ+DEL,-0.0010287963597660555
EMB+MOX+PZA+RIF,0.004337520624223729
BDQ+LIN+PRE,-0.0022782877332175907
INH+PZA,-0.0006008349252512262
PZA+RIF,0.009337214528845223
LIN+PRE,0.0007308666325694889
PZA+RIF,0.0068896740194157235
BDQ+LIN+PRE,-0.005419721283491402
BDQ+PRE,-0.0020266893159996417
BDQ+LIN,-0.005443614835110917
BDQ+DEL,-0.0011129221358876043
EMB+MOX+PZA+RIF,0.009875830419280463
EMB+INH+PZA+RIF,0.003951876349568809
BDQ+PRE,-0.0029542692226397615
PZA+RIF,0.003936577631301289
PZA+RIF,0.0020837516472149934
EMB+INH+PZA+RIF,-0.002687798875097337
BDQ+DEL,-0.0059892801742242865
BDQ+DEL,-0.005555510498042201
BDQ+LIN+PRE,-0.009159075093212336
MOX+RIF,-0.0003232915932875365
INH+PZA,0.0009637394534888421
BDQ+DEL,-0.006117694936398797
MOX+RIF,-0.0011524216485170244
BDQ+PRE,0.0009820195253995897
MOX+RIF,-0.001504487231790823
INH+PZA,-0.00010960886132418344
MOX+RIF,-0.005449203653139847
PZA+RIF,0.00898523496245935
BDQ+PRE,-0.004552921633799765
BDQ+LIN+PRE,0.002438671971328375
EMB+MOX+PZA+RIF,0.0056563570402336635
BDQ+LIN+PRE,-0.002201061283666515
MOX+RIF,0.005033306140787189
PZA+RIF,0.0010867551432260742
MOX+RIF,0.001123350762095642
BDQ+LIN+PRE,-0.005298443521007257
BDQ+LIN+PRE,-0.0005442430326883893
EMB+INH+PZA+RIF,-0.0017297554007506954
BDQ+LIN,-0.0020116482032859883
BDQ+LIN+PRE,-0.00867764505747265
LIN+PRE,0.00017480230328661853
PZA+RIF,0.0016528479833923739
MOX+RIF,0.0062960355883655405
INH+PZA,0.0054282264621105065
BDQ+LIN,-0.008263863308641574
LIN+PRE,0.0107590214383438
PZA+RIF,0.005201919314952691
BDQ+DEL,-0.0007601103932854041
BDQ+LIN+PRE,-0.005588034037544575
LIN+PRE,0.002024441542247696
INH+PZA,0.0005423249300618437
LIN+PRE,0.0072619152243618475
EMB+MOX+PZA+RIF,0.005198577051418175
EMB+INH+PZA+RIF,-0.0006698371443651223
EMB+MOX+PZA+RIF,0.009939977065793065
EMB+INH+PZA+RIF,0.003638706534959729
BDQ+PRE,-0.005480670720138828
EMB+MOX+PZA+RIF,0.008275524732097066
PZA+RIF,0.008391532183637135
BDQ+LIN,-0.0010110255787936333
MOX+RIF,0.0050901802020174546
BDQ+PRE,-0.0033936183458639587
EMB+MOX+PZA+RIF,0.0020949037709164647
BDQ+DEL,-0.008473204191415474
EMB+INH+PZA+RIF,0.0009430764557962265
MOX+RIF,0.004289470471520342
EMB+MOX+PZA+RIF,0.0008677594215545033
