Compound,SHAP
BDQ+LIN,0.0002753948130355597
MOX+RIF,-0.004467750516806017
INH+PZA,-0.0028264570181844775
BDQ+PRE,0.00005038538071717964
BDQ+LIN+PRE,-0.00079532542287191
PZA+RIF,0.00763759175573369
BDQ+LIN+PRE,0.0007723560200201601
MOX+RIF,-0.0012783921604949794
BDQ+DEL,-0.0028084315855477987
EMB+INH+PZA+RIF,-0.0005575055559365843
INH+PZA,-0.0030056794414893015
MOX+RIF,-0.002747184732553012
LIN+PRE,0.0011050471548644026
BDQ+PRE,-0.0005006175954476618
BDQ+DEL,-0.0013811330259904731
PZA+RIF,-0.0008292370429919973
MOX+RIF,-0.0018525445821634113
BDQ+DEL,-0.0008927144640999031
PZA+RIF,0.004470912706841874
EMB+INH+PZA+RIF,-0.0014533862089360235
BDQ+PRE,-0.000350589337190633
BDQ+LIN+PRE,0.0005697766975383724
LIN+PRE,0.0007185184904219472
PZA+RIF,0.0014186561906269978
LIN+PRE,0.012318909878187694
INH+PZA,-0.0067042403632775645
BDQ+LIN,0.0012258815216546976
EMB+MOX+PZA+RIF,0.007973831936565144
BDQ+DEL,-0.00328253382087026
MOX+RIF,-0.0020785868451375163
INH+PZA,-0.0034627505178146324
INH+PZA,-0.0047831957921949265
EMB+MOX+PZA+RIF,0.003568259488757616
BDQ+PRE,0.00014830519323129018
BDQ+PRE,-0.0022836129245055944
LIN+PRE,0.0048477798837719965
MOX+RIF,-0.01465443890842665
EMB+INH+PZA+RIF,-0.0037996540158903905
PZA+RIF,-0.0012662982434960663
EMB+INH+PZA+RIF,-0.006263679124990538
EMB+MOX+PZA+RIF,0.002211667711714817
LIN+PRE,0.0010539311448106833
PZA+RIF,0.002010341542767233
INH+PZA,-0.0016566277137382004
EMB+MOX+PZA+RIF,0.0027499371414573953
BDQ+PRE,0.0003234010766312643
BDQ+PRE,0.003554280266527552
EMB+INH+PZA+RIF,-0.00976483254514404
EMB+MOX+PZA+RIF,0.001956657809327277
BDQ+LIN,-0.0022841260101388746
BDQ+LIN,0.00023064539926437452
MOX+RIF,-0.002574491842830337
EMB+MOX+PZA+RIF,0.0028870283147076846
BDQ+LIN,-0.004481676774217661
BDQ+DEL,-0.004855193218106341
MOX+RIF,-0.0018579172190967615
