Compound,SHAP
BDQ+LIN,-0.004790076897743982
MOX+RIF,-0.002940235320813289
INH+PZA,0.0007745404716158819
BDQ+PRE,0.002311551865055176
BDQ+LIN+PRE,0.0029457655548278997
PZA+RIF,0.003295645824713585
BDQ+LIN+PRE,0.0010768601519879277
MOX+RIF,-0.0013924602371997083
BDQ+DEL,-0.0009275731126247952
EMB+INH+PZA+RIF,0.0005204941304497889
INH+PZA,-0.005869121445816771
MOX+RIF,-0.0019115664829377796
LIN+PRE,-0.0013093819022504086
BDQ+PRE,-0.0023821249240797266
BDQ+DEL,-0.0017986611686037998
PZA+RIF,0.0015439798791956234
MOX+RIF,-0.0006247250588068109
BDQ+DEL,-0.003559265312264884
PZA+RIF,0.006785169914853363
EMB+INH+PZA+RIF,0.000828408255110572
BDQ+PRE,0.0015967335220568194
BDQ+LIN+PRE,0.008589032194949331
LIN+PRE,0.0024236224322975045
PZA+RIF,0.0007437579693072807
LIN+PRE,-0.0014793920838077786
INH+PZA,-0.0007255800223562335
BDQ+LIN,-0.013118930414825938
EMB+MOX+PZA+RIF,0.009414670592410888
BDQ+DEL,0.0005832387180209727
MOX+RIF,0.002364329947124119
INH+PZA,-0.002241525496088471
INH+PZA,-0.004889042604874315
EMB+MOX+PZA+RIF,0.002167541693384904
BDQ+PRE,0.00109568596475039
BDQ+PRE,0.0005156366536409703
LIN+PRE,0.00626810411665558
MOX+RIF,-0.0008266024351393336
EMB+INH+PZA+RIF,0.00017481216112303716
PZA+RIF,0.0036903455024396136
EMB+INH+PZA+RIF,0.0006215519930744066
EMB+MOX+PZA+RIF,0.0021450433672756714
LIN+PRE,0.0012260179955937086
PZA+RIF,0.003968981353674489
INH+PZA,-0.0008805879271203678
EMB+MOX+PZA+RIF,0.0008302348633157414
BDQ+PRE,0.00444961200347691
BDQ+PRE,0.0013475176997561893
EMB+INH+PZA+RIF,0.0027496033437284673
EMB+MOX+PZA+RIF,0.003164992226650029
BDQ+LIN,-0.0030070995907297265
BDQ+LIN,-0.0038707002778510403
MOX+RIF,-0.004011340586547712
EMB+MOX+PZA+RIF,0.0027835472218375483
BDQ+LIN,-0.00017861674285749325
BDQ+DEL,-0.009576589666060327
MOX+RIF,-0.0018202119113040242
EMB+INH+PZA+RIF,0.0027823991602014373
BDQ+PRE,0.0003498199630349965
BDQ+PRE,0.004954462728112458
BDQ+DEL,0.002730544117078601
MOX+RIF,-0.002262786622370601
BDQ+LIN+PRE,0.001410815045176947
EMB+INH+PZA+RIF,-0.00023989980025384815
LIN+PRE,0.0001462945590256154
PZA+RIF,0.0011978137431940318
BDQ+PRE,0.0006517688044316916
EMB+MOX+PZA+RIF,0.001874267658036101
MOX+RIF,0.00021130801516444203
BDQ+LIN,-0.0014587433312147579
BDQ+DEL,-0.002222220707172999
BDQ+LIN,-0.005574758876106928
BDQ+LIN,-0.010429046326552062
BDQ+LIN+PRE,0.0006654576917110774
INH+PZA,-0.0022711702445134025
PZA+RIF,0.0006963688914799501
INH+PZA,-0.0015413363301419116
BDQ+LIN+PRE,0.014755393191713323
EMB+MOX+PZA+RIF,0.007762289666448448
MOX+RIF,0.00009106339539660713
BDQ+PRE,0.002529395466509967
BDQ+LIN,-0.004446960811149719
MOX+RIF,-0.0027567999139928626
BDQ+PRE,0.0010862247532439986
INH+PZA,-0.006151766608249728
BDQ+LIN,-0.005649804263195246
INH+PZA,-0.0029482069614102323
EMB+MOX+PZA+RIF,0.0025082028072427385
INH+PZA,-0.004115983144015988
BDQ+DEL,-0.0033142997693194546
BDQ+PRE,0.0015277050321222032
BDQ+LIN+PRE,-0.005992645404122428
INH+PZA,-0.00013312662539726036
EMB+MOX+PZA+RIF,0.003925284089376289
EMB+INH+PZA+RIF,0.0009470385739426917
BDQ+PRE,-0.0016117820594730879
INH+PZA,-0.0003829753539849554
BDQ+LIN,-0.001622240391822703
EMB+MOX+PZA+RIF,0.0015388874663097405
BDQ+LIN+PRE,-0.009687864566344826
BDQ+LIN,-0.0036082846703962544
INH+PZA,0.0012708581009534523
EMB+MOX+PZA+RIF,0.009059066976206504
BDQ+LIN,-0.0008166633204354973
BDQ+DEL,-0.00028935045389137805
PZA+RIF,0.002022793073798375
MOX+RIF,-0.0004715626904825167
BDQ+DEL,0.0005368325733825896
BDQ+LIN,-0.004135913173231945
PZA+RIF,0.0008183036601022965
PZA+RIF,0.0019119202440108657
LIN+PRE,0.000041321344631069335
BDQ+DEL,-0.003852816886844189
BDQ+LIN,0.0017346926542432385
EMB+MOX+PZA+RIF,0.004066292949642775
LIN+PRE,0.003187078837549014
PZA+RIF,0.004098169717245112
LIN+PRE,0.0070840861885342514
EMB+MOX+PZA+RIF,0.003560138084928364
BDQ+DEL,-0.0047740993790136585
BDQ+LIN+PRE,-0.00353974547148253
EMB+MOX+PZA+RIF,0.008786226953866057
LIN+PRE,0.003580249574138821
MOX+RIF,-0.002580639485515846
BDQ+DEL,-0.003197559132079847
PZA+RIF,0.000321648062060707
LIN+PRE,0.0018473213420236913
BDQ+PRE,-0.0003254052248815503
LIN+PRE,3.643036685467592e-6
BDQ+PRE,0.0012496568473339094
BDQ+LIN+PRE,0.008770616363900453
INH+PZA,-0.0038039549446127856
BDQ+LIN,-0.0032231544413530706
EMB+MOX+PZA+RIF,0.00844394778164673
BDQ+LIN,0.0011457973713417055
LIN+PRE,0.0017904393918210767
LIN+PRE,-0.0004891185353766915
BDQ+PRE,-0.0002688523075662777
BDQ+LIN,-0.0010465009281002719
MOX+RIF,-0.0002111694245247635
BDQ+LIN+PRE,-0.0006548369227360204
EMB+INH+PZA+RIF,-0.003246104837934527
LIN+PRE,0.00042367625589083034
BDQ+LIN+PRE,0.0038548613944393772
LIN+PRE,0.0011419923602709644
BDQ+DEL,-0.0020716583011476768
EMB+MOX+PZA+RIF,0.005322780075904267
BDQ+LIN+PRE,0.008412148125031172
INH+PZA,-0.004413148503685403
PZA+RIF,0.00448732801985458
LIN+PRE,-0.001814697067822585
PZA+RIF,0.003432237972648803
BDQ+LIN+PRE,-0.006801851205464307
BDQ+PRE,0.0020603734831813963
BDQ+LIN,-0.007639001783505527
BDQ+DEL,-0.001082596881325983
EMB+MOX+PZA+RIF,0.0031826896493058953
EMB+INH+PZA+RIF,0.001824418988174548
BDQ+PRE,-0.0024163776374904636
PZA+RIF,0.0009931855136436438
PZA+RIF,0.005084046550508597
EMB+INH+PZA+RIF,0.0022360709522879114
BDQ+DEL,-0.0002255942112401345
BDQ+DEL,-0.0054087746411251025
BDQ+LIN+PRE,-0.005866811355751061
MOX+RIF,0.00039021377671459524
INH+PZA,0.00018505867139214364
BDQ+DEL,0.0007191340106022241
MOX+RIF,-0.0004912663358752566
BDQ+PRE,0.001889198148478465
MOX+RIF,-0.003457797592447083
INH+PZA,0.00019602954484739495
MOX+RIF,-0.005873915656244805
PZA+RIF,0.0008958867877119049
BDQ+PRE,0.0016346487060512566
BDQ+LIN+PRE,0.019728801131684858
EMB+MOX+PZA+RIF,0.009929625799302847
BDQ+LIN+PRE,0.003331784083259882
MOX+RIF,0.0008758843450717202
PZA+RIF,0.004042147428161308
MOX+RIF,-0.0046266956174731266
BDQ+LIN+PRE,-0.0027037540024848128
BDQ+LIN+PRE,-0.0005024431583668714
EMB+INH+PZA+RIF,0.0069300435640644135
BDQ+LIN,-0.000015096790956066388
BDQ+LIN+PRE,-0.002645727441139263
LIN+PRE,0.000290520176708564
