Compound,SHAP
BDQ+LIN,-0.0011454932877237704
MOX+RIF,-0.003007411112452234
INH+PZA,0.0002013160284278935
BDQ+PRE,0.0016329141204566233
BDQ+LIN+PRE,-0.000027008220031208148
PZA+RIF,0.0001566965047502904
BDQ+LIN+PRE,-0.001300887431582794
MOX+RIF,-0.002140418897617853
BDQ+DEL,-0.008571235128318252
EMB+INH+PZA+RIF,0.00372421268086004
INH+PZA,-0.0008206115714631191
MOX+RIF,0.001444267536667349
LIN+PRE,-0.002256258892886039
BDQ+PRE,-0.000589656246215617
BDQ+DEL,-0.0008440884446358814
PZA+RIF,0.0003000624782071821
MOX+RIF,-0.0017964883347021453
BDQ+DEL,-0.0025894124795619016
PZA+RIF,-0.0006207379995543922
EMB+INH+PZA+RIF,0.002625761701717896
BDQ+PRE,-0.0003920680592324889
BDQ+LIN+PRE,0.000059219074100333654
LIN+PRE,-0.0032268199214918573
PZA+RIF,0.0016659953311504699
LIN+PRE,0.0018658527051928883
INH+PZA,-0.0030440393298464185
BDQ+LIN,-0.004007064758087187
EMB+MOX+PZA+RIF,0.004725731872953092
BDQ+DEL,-0.004624606907748596
MOX+RIF,-7.153359796039796e-6
INH+PZA,-0.00007320786526645733
INH+PZA,-0.0033916730224660195
EMB+MOX+PZA+RIF,0.000022560125742445598
BDQ+PRE,0.0006521495171085641
BDQ+PRE,-0.001214647610615246
LIN+PRE,0.0005005458959311961
MOX+RIF,0.0021852001303448946
EMB+INH+PZA+RIF,0.003256428243802543
PZA+RIF,0.0007345888897688848
EMB+INH+PZA+RIF,0.0007892865191837785
EMB+MOX+PZA+RIF,-0.00021522013268657027
LIN+PRE,-0.0019223852131424579
PZA+RIF,0.0029256640643430033
INH+PZA,0.002074937826701949
EMB+MOX+PZA+RIF,-0.0008191259947664403
BDQ+PRE,0.005054401042812093
BDQ+PRE,0.00200314896145729
EMB+INH+PZA+RIF,-0.00012048728903656253
EMB+MOX+PZA+RIF,0.0000902381668147003
BDQ+LIN,-0.0020642486263733454
BDQ+LIN,-0.004013295311159666
MOX+RIF,0.0008792646816942618
EMB+MOX+PZA+RIF,0.0017049382312949682
BDQ+LIN,-0.002211632886866477
BDQ+DEL,-0.004497080648251251
MOX+RIF,0.0011034149106140885
EMB+INH+PZA+RIF,0.00155203024109788
BDQ+PRE,0.004208847066108666
BDQ+PRE,0.0054247078486375265
BDQ+DEL,-0.0015909494484013039
MOX+RIF,-0.0019489273813001608
BDQ+LIN+PRE,-0.0018676649954329336
EMB+INH+PZA+RIF,0.0032283032780978764
LIN+PRE,-0.001184046092979337
PZA+RIF,-0.00018190636022351992
BDQ+PRE,0.0005602407240603604
EMB+MOX+PZA+RIF,-0.002488396521764798
MOX+RIF,-0.0009779000497917127
BDQ+LIN,-0.0005832974000479546
BDQ+DEL,-0.0026817347527746576
BDQ+LIN,-0.0053197817738104775
BDQ+LIN,-0.0025286138219615577
BDQ+LIN+PRE,-0.0012607313388418224
INH+PZA,0.0011514471127194359
PZA+RIF,0.0005173059356791188
INH+PZA,-0.0017597948608461815
BDQ+LIN+PRE,0.003298045823515872
EMB+MOX+PZA+RIF,0.00569850126391765
MOX+RIF,-0.0010874325317204634
BDQ+PRE,-0.00033168088152098343
BDQ+LIN,-0.00569270745189285
MOX+RIF,-0.002119865419526993
BDQ+PRE,0.006168602419983955
INH+PZA,-0.0015131681028788388
BDQ+LIN,-0.0025468320240291022
INH+PZA,-0.002633727182165502
EMB+MOX+PZA+RIF,-0.00135366732714459
INH+PZA,-0.005593958639131244
BDQ+DEL,-0.0032407296470928306
BDQ+PRE,0.0006844153746931737
BDQ+LIN+PRE,-0.0016485365737379382
INH+PZA,0.0017897375418664413
EMB+MOX+PZA+RIF,0.0009376545356034119
EMB+INH+PZA+RIF,0.004227426463468236
BDQ+PRE,-0.004192062413121141
INH+PZA,-0.00030498042250870017
BDQ+LIN,-0.0015461554009202994
EMB+MOX+PZA+RIF,0.0006940746470459388
BDQ+LIN+PRE,-0.0016823246848415112
BDQ+LIN,-0.007798116230976651
INH+PZA,-0.0005672958278797385
EMB+MOX+PZA+RIF,0.00031356007675017935
BDQ+LIN,-0.003432526077929101
BDQ+DEL,-0.0043078120716152045
PZA+RIF,0.00038112863536307406
MOX+RIF,-0.00023287436575175513
BDQ+DEL,-0.002756772340747764
BDQ+LIN,0.0001931968728393253
PZA+RIF,-0.0003847910461462034
PZA+RIF,0.0004416083331866605
LIN+PRE,-0.0011187940678883785
BDQ+DEL,-0.004655781813669114
BDQ+LIN,-0.002175990178811408
EMB+MOX+PZA+RIF,-0.0013908400419695708
LIN+PRE,-0.0038949968503472774
PZA+RIF,-0.0006456209244255415
LIN+PRE,-0.0006319274228001953
EMB+MOX+PZA+RIF,0.001810791171171218
BDQ+DEL,-0.00751742347738206
BDQ+LIN+PRE,-0.00009990754882884978
EMB+MOX+PZA+RIF,0.005231675800004651
LIN+PRE,-0.00026872198214155393
MOX+RIF,0.0018661306096502436
BDQ+DEL,-0.002852321344955683
PZA+RIF,0.0009114925103916585
LIN+PRE,-0.0038938619979711994
BDQ+PRE,0.0021236786103879563
LIN+PRE,-0.0009883799134365575
BDQ+PRE,0.0016547871539617119
BDQ+LIN+PRE,-0.00015163074076329877
INH+PZA,-0.0006594409183870389
BDQ+LIN,-0.003911246623384727
EMB+MOX+PZA+RIF,0.0042280313727780525
BDQ+LIN,-0.0046654871337381745
LIN+PRE,-0.00199736329600479
LIN+PRE,-0.004201630348096189
BDQ+PRE,-0.0037014920656478854
BDQ+LIN,-0.004782483525244971
MOX+RIF,-0.0024521058866007056
BDQ+LIN+PRE,-0.002046394374750057
EMB+INH+PZA+RIF,0.004498540760408221
LIN+PRE,-0.0005293836707674746
BDQ+LIN+PRE,-0.0014054316882092634
LIN+PRE,-0.0005162928669974415
BDQ+DEL,-0.0074902645298706395
EMB+MOX+PZA+RIF,0.004040201675183485
BDQ+LIN+PRE,0.001979554917151296
INH+PZA,-0.0019303071501978152
PZA+RIF,0.004446353950574782
LIN+PRE,-0.001989759975181213
PZA+RIF,0.001308603242713224
BDQ+LIN+PRE,0.00024108994403051893
BDQ+PRE,0.00012954260852117636
BDQ+LIN,-0.003852043323061462
BDQ+DEL,-0.0075353085878436124
EMB+MOX+PZA+RIF,-0.0014058465650685918
EMB+INH+PZA+RIF,0.0031057253665420846
BDQ+PRE,-0.005808940154412271
PZA+RIF,0.0009322457066376674
PZA+RIF,0.002146782815579183
EMB+INH+PZA+RIF,0.0008151881988267949
BDQ+DEL,-0.005176260719221876
BDQ+DEL,-0.0032603255298010504
BDQ+LIN+PRE,-0.000609629483693843
MOX+RIF,0.000030143101905941364
INH+PZA,0.0034395917976782855
BDQ+DEL,-0.004865186522097229
