Compound,SHAP
BDQ+LIN,-0.004230421087692402
MOX+RIF,-0.004388984975855894
INH+PZA,-0.008239616961388635
BDQ+PRE,-0.00027620068923683486
BDQ+LIN+PRE,0.002830964188663339
PZA+RIF,0.008763757803188459
BDQ+LIN+PRE,-0.0017990329286351285
MOX+RIF,-0.0002888542473698765
BDQ+DEL,-0.003261888531411065
EMB+INH+PZA+RIF,-0.000051879537805534
INH+PZA,-0.0023774910217642547
MOX+RIF,-0.006772494185842951
LIN+PRE,0.0033263973893209006
BDQ+PRE,0.0019430902228289165
BDQ+DEL,-0.004669476633144006
PZA+RIF,0.006023753278054208
MOX+RIF,-0.0018179791369638452
BDQ+DEL,-0.005770564501132142
PZA+RIF,0.0027805595559547217
EMB+INH+PZA+RIF,-0.002494851816970137
BDQ+PRE,0.0009899116327374943
BDQ+LIN+PRE,0.00518011303074
LIN+PRE,0.0028186251424749003
PZA+RIF,0.003620228550960542
LIN+PRE,0.02083955687130588
INH+PZA,-0.013986958504689857
BDQ+LIN,-0.003455785393028977
EMB+MOX+PZA+RIF,0.01668817489804867
BDQ+DEL,-0.005372026287841368
MOX+RIF,-0.0037230049210886626
INH+PZA,-0.0053295720635059855
INH+PZA,-0.006205163846297806
EMB+MOX+PZA+RIF,0.00893090294647747
BDQ+PRE,-0.0016335764936656074
BDQ+PRE,0.0029653286339723244
LIN+PRE,0.0035141914719657914
MOX+RIF,-0.018587167529139886
EMB+INH+PZA+RIF,-0.0017741132868677415
PZA+RIF,0.0060194137083555204
EMB+INH+PZA+RIF,-0.010162069433145071
EMB+MOX+PZA+RIF,0.009732310858695711
LIN+PRE,0.0009135060493447303
PZA+RIF,0.0026799725120052248
INH+PZA,-0.004991922112093047
EMB+MOX+PZA+RIF,0.007737420912786896
BDQ+PRE,0.0016024306319321732
BDQ+PRE,0.009140507339077676
EMB+INH+PZA+RIF,-0.0084147605527127
EMB+MOX+PZA+RIF,0.0048754692584881115
BDQ+LIN,-0.003800240261143941
BDQ+LIN,-0.00619143179355862
MOX+RIF,-0.0066807395543076725
EMB+MOX+PZA+RIF,0.01068134961971243
BDQ+LIN,-0.013906910856942982
BDQ+DEL,-0.014221989338977184
MOX+RIF,-0.0018709491706515105
EMB+INH+PZA+RIF,-0.010057609896160261
BDQ+PRE,0.0008794638386010679
BDQ+PRE,0.004511525101286663
BDQ+DEL,0.0020309481807099946
MOX+RIF,-0.00370756403349671
BDQ+LIN+PRE,-0.003534401690239106
EMB+INH+PZA+RIF,-0.00005109500289869178
LIN+PRE,0.0009545053109617302
PZA+RIF,0.0012825206144100266
BDQ+PRE,0.0006309429115983603
EMB+MOX+PZA+RIF,0.005525691000712496
MOX+RIF,-0.005612933428236498
BDQ+LIN,-0.0022217437931942976
BDQ+DEL,-0.004779582719266346
BDQ+LIN,-0.0029991667255822017
BDQ+LIN,-0.004186505940171887
BDQ+LIN+PRE,-0.0005625897392713105
INH+PZA,-0.0018622716918406939
PZA+RIF,0.0033127125386471076
INH+PZA,-0.011622473995099077
BDQ+LIN+PRE,0.0032086224795619877
EMB+MOX+PZA+RIF,0.018569566137379645
MOX+RIF,-0.003169488735892206
BDQ+PRE,0.0036750427318675643
BDQ+LIN,-0.0029548461312925533
MOX+RIF,-0.0026167998007572075
BDQ+PRE,0.0010692884842282097
INH+PZA,-0.005165653570985714
BDQ+LIN,-0.009696278906608806
INH+PZA,-0.003971940631548362
EMB+MOX+PZA+RIF,0.010289859712746126
INH+PZA,-0.00301817887085924
BDQ+DEL,-0.005822266263430348
BDQ+PRE,0.005058253376973424
BDQ+LIN+PRE,0.010037298485700402
INH+PZA,-0.0006070439261378226
EMB+MOX+PZA+RIF,0.00976266199328578
EMB+INH+PZA+RIF,-0.0016693154269324447
BDQ+PRE,0.0004949354985399958
INH+PZA,-0.006080957930240276
BDQ+LIN,-0.004898607604551397
EMB+MOX+PZA+RIF,0.007009837522928688
BDQ+LIN+PRE,-0.0069349521343559
BDQ+LIN,-0.0036461569637203884
INH+PZA,-0.00908734618022202
EMB+MOX+PZA+RIF,0.019087102642311317
BDQ+LIN,-0.007787654259663854
BDQ+DEL,-0.006182802331326357
PZA+RIF,0.0016719999836336534
MOX+RIF,-0.002203930248900553
BDQ+DEL,-0.005036351385039942
BDQ+LIN,-0.001259742922203121
PZA+RIF,0.004249499276890889
PZA+RIF,0.0026408605919217075
LIN+PRE,0.003907591808467975
BDQ+DEL,-0.007427555075190214
BDQ+LIN,-0.0018325250255134644
EMB+MOX+PZA+RIF,0.00924368955883842
LIN+PRE,0.016945771962891164
PZA+RIF,0.010541251795614614
LIN+PRE,0.006856634263172599
EMB+MOX+PZA+RIF,0.012593684648217689
BDQ+DEL,-0.0032752764020027307
BDQ+LIN+PRE,0.003726928516972933
EMB+MOX+PZA+RIF,0.02448229056127966
LIN+PRE,0.005456768778471487
MOX+RIF,-0.006566370937258187
BDQ+DEL,-0.005828530313762663
PZA+RIF,0.0020913908619427483
LIN+PRE,0.0037453046453933127
BDQ+PRE,0.00017785403054737775
LIN+PRE,0.0019581964303433765
BDQ+PRE,0.0006461942944192932
BDQ+LIN+PRE,0.003004220194463719
INH+PZA,-0.0022406376443704994
BDQ+LIN,-0.005754328233629459
EMB+MOX+PZA+RIF,0.02619999314529802
BDQ+LIN,-0.007199740510900649
LIN+PRE,0.002961327961870389
LIN+PRE,-0.0028908754981286323
BDQ+PRE,0.0014395937513397288
BDQ+LIN,-0.012670730514560835
MOX+RIF,-0.0036147316208910217
BDQ+LIN+PRE,-0.005698788037981225
EMB+INH+PZA+RIF,-0.0005672466232652084
LIN+PRE,0.0041622743017592076
BDQ+LIN+PRE,-0.0029137068866553592
LIN+PRE,0.00857633538713145
