Compound,SHAP
BDQ+LIN,-0.0026823340217012243
MOX+RIF,-0.0006909998514775607
INH+PZA,-0.0017820737822988114
BDQ+PRE,-0.002011706415366762
BDQ+LIN+PRE,-0.004491929199184347
PZA+RIF,0.002420067951912533
BDQ+LIN+PRE,-0.003766305419584725
MOX+RIF,-0.0040414848501512685
BDQ+DEL,-0.001831388790227918
EMB+INH+PZA+RIF,0.001835044372993368
INH+PZA,0.0005561418526220538
MOX+RIF,-0.004340399110010033
LIN+PRE,-0.0007204246668039052
BDQ+PRE,0.0005775266592144101
BDQ+DEL,-0.00144778649046097
PZA+RIF,-0.0021880244503488214
MOX+RIF,-0.00013724530309342772
BDQ+DEL,0.00103452760947711
PZA+RIF,0.0010379848230217309
EMB+INH+PZA+RIF,0.0008344623754491045
BDQ+PRE,-0.0024902639085490814
BDQ+LIN+PRE,-0.0006183177023591245
LIN+PRE,0.0038599962981225823
PZA+RIF,0.003946486784673358
LIN+PRE,0.005827205590642884
INH+PZA,-0.0008650889242591198
BDQ+LIN,-0.004964111872308911
EMB+MOX+PZA+RIF,0.004854407228564548
BDQ+DEL,-0.000596074495670352
MOX+RIF,-0.0008204927563885417
INH+PZA,-0.0009008633651642168
INH+PZA,-0.002221029537139824
EMB+MOX+PZA+RIF,0.0037131196537440896
BDQ+PRE,-0.000997071493987701
BDQ+PRE,-0.0023234020757325015
LIN+PRE,0.005218995653636965
MOX+RIF,-0.00361864642680184
EMB+INH+PZA+RIF,0.0037621815811076298
PZA+RIF,0.005541657750056767
EMB+INH+PZA+RIF,-0.0012134394516578985
EMB+MOX+PZA+RIF,0.005541821718058356
LIN+PRE,-0.0016284124886504704
PZA+RIF,0.0018377218300969977
INH+PZA,-0.0004394300457516918
EMB+MOX+PZA+RIF,0.001025994013013062
BDQ+PRE,-0.001931419663774375
BDQ+PRE,-0.0014471481113159123
EMB+INH+PZA+RIF,-0.0013809132161113093
EMB+MOX+PZA+RIF,0.0033911308968328164
BDQ+LIN,-0.0037315786358589295
BDQ+LIN,-0.0030493107148221246
MOX+RIF,-0.0007003878862037006
EMB+MOX+PZA+RIF,0.006702459114267492
BDQ+LIN,-0.0027370463984952445
BDQ+DEL,-0.0008169111614461821
MOX+RIF,-0.0012963807222318696
EMB+INH+PZA+RIF,0.0003308485182975609
BDQ+PRE,-0.0020538662594853816
BDQ+PRE,-0.00171156563883016
BDQ+DEL,0.00012380153468510065
MOX+RIF,-0.002951301427189825
BDQ+LIN+PRE,-0.005065183842586294
EMB+INH+PZA+RIF,0.0024686529078959316
LIN+PRE,-0.0021431320740278757
PZA+RIF,0.003143186788115396
BDQ+PRE,-0.0012256182222426149
EMB+MOX+PZA+RIF,0.006530289120672428
MOX+RIF,-0.0008615548960340123
BDQ+LIN,-0.0011473444794901705
BDQ+DEL,-0.003569690853029834
BDQ+LIN,-0.004677975615053998
BDQ+LIN,-0.002415916730079674
BDQ+LIN+PRE,-0.0026857264366376135
INH+PZA,-0.0012464839176233224
PZA+RIF,0.006491613353702296
INH+PZA,0.0012299220223170241
BDQ+LIN+PRE,0.0016528522573812845
EMB+MOX+PZA+RIF,0.010535109356118144
MOX+RIF,-0.0019092753481892892
BDQ+PRE,0.000773314215592423
BDQ+LIN,-0.001776622612886934
MOX+RIF,-0.004231039047387359
BDQ+PRE,0.0025090145733689794
INH+PZA,-0.001330323267612508
BDQ+LIN,-0.0012339201224849802
INH+PZA,-0.0001732554751428204
EMB+MOX+PZA+RIF,0.007756227906599404
INH+PZA,-0.0028706267191299147
BDQ+DEL,0.0008593452621120945
BDQ+PRE,-0.0003953439740031787
BDQ+LIN+PRE,0.0006937828009907184
INH+PZA,-0.0007564086829903474
EMB+MOX+PZA+RIF,0.005777011489297755
EMB+INH+PZA+RIF,0.0007577680295375766
BDQ+PRE,-0.0021078580616360793
INH+PZA,-0.0039403099869350375
BDQ+LIN,0.00008234051451299855
EMB+MOX+PZA+RIF,0.004735858322239321
BDQ+LIN+PRE,-0.00034896776678282847
BDQ+LIN,-0.005123865303564339
INH+PZA,-0.0002551374461764026
EMB+MOX+PZA+RIF,0.003658601156064841
BDQ+LIN,-0.00312583901094367
BDQ+DEL,-0.0019961368130741847
PZA+RIF,0.004538642357534084
MOX+RIF,-0.0013897703810973113
BDQ+DEL,-0.0036792476513824233
BDQ+LIN,-0.00016239256343739624
PZA+RIF,0.0032460649569932263
PZA+RIF,-0.0025975610680346564
LIN+PRE,0.0010703700489114673
BDQ+DEL,0.0007338931501952352
BDQ+LIN,-0.00156620062722418
EMB+MOX+PZA+RIF,0.006857142952693983
LIN+PRE,0.00018551550722860555
PZA+RIF,0.002294884170466527
LIN+PRE,0.011033358293885003
EMB+MOX+PZA+RIF,0.005527721445924296
BDQ+DEL,-0.0015428116926553311
BDQ+LIN+PRE,0.0018223940268031428
EMB+MOX+PZA+RIF,0.004073999724485306
LIN+PRE,0.0013166038405606673
MOX+RIF,-0.005271350019881777
BDQ+DEL,-0.001082137849744229
PZA+RIF,0.003236692435684787
LIN+PRE,-0.0015092456091165924
BDQ+PRE,-0.0025558258012222425
LIN+PRE,0.00008499459389400898
BDQ+PRE,-0.00004430724548222894
BDQ+LIN+PRE,0.0003969191321438705
INH+PZA,0.003128422495192419
BDQ+LIN,-0.0021976039768462044
EMB+MOX+PZA+RIF,0.00239385396244879
BDQ+LIN,-0.0025321190569587014
LIN+PRE,0.0016402811066750993
LIN+PRE,-0.0019311499942122389
BDQ+PRE,-0.004076435928003128
BDQ+LIN,-0.0051848169574897195
MOX+RIF,-0.008597620450350407
BDQ+LIN+PRE,-0.002194492622139088
EMB+INH+PZA+RIF,-0.0004887919361522312
LIN+PRE,0.0004106163050983401
BDQ+LIN+PRE,-0.0011775139837072492
LIN+PRE,0.0009677978508180121
BDQ+DEL,-0.003360805018621158
EMB+MOX+PZA+RIF,0.00808958691224229
BDQ+LIN+PRE,-0.004864905891815994
INH+PZA,0.00016053658472210068
PZA+RIF,-0.0028503437332415386
LIN+PRE,-0.0012850329242396128
PZA+RIF,0.002701118437255155
BDQ+LIN+PRE,0.0007248910822875986
BDQ+PRE,0.0011343483677678898
BDQ+LIN,-0.004813700580334049
BDQ+DEL,-0.0007809347070648866
EMB+MOX+PZA+RIF,0.006973153339681724
EMB+INH+PZA+RIF,0.0034218723992983785
BDQ+PRE,-0.0011092563729257847
PZA+RIF,0.004397894147504342
PZA+RIF,0.00391729118096129
EMB+INH+PZA+RIF,-0.001295144936041947
BDQ+DEL,-0.00039405300784407327
BDQ+DEL,-0.007124380411742837
BDQ+LIN+PRE,-0.0021975257704161715
MOX+RIF,-0.0022961670794955104
INH+PZA,0.0007653881192556919
BDQ+DEL,-0.0035130834926987106
MOX+RIF,-0.005824197683108777
BDQ+PRE,-0.0021374850355668096
MOX+RIF,-0.0014011933520098963
INH+PZA,-0.0031311931072061953
MOX+RIF,-0.003179346297301932
PZA+RIF,0.0056971779633629765
BDQ+PRE,-0.0033918763727381293
BDQ+LIN+PRE,0.0002791680679498224
EMB+MOX+PZA+RIF,0.0029218559964657993
BDQ+LIN+PRE,-0.0010301395118250912
MOX+RIF,-0.0007268341770334159
PZA+RIF,0.0005859376610333329
MOX+RIF,-0.0030391724517071406
BDQ+LIN+PRE,-0.003502957692359618
BDQ+LIN+PRE,0.0024889084231499796
EMB+INH+PZA+RIF,-0.0008100868095755768
BDQ+LIN,-0.0057583267089043755
BDQ+LIN+PRE,-0.0012505121652920668
LIN+PRE,0.00041125147842301687
PZA+RIF,0.003216618961991927
MOX+RIF,-0.0004831969755302615
INH+PZA,-0.0023150016435841752
BDQ+LIN,-0.002220523668026376
LIN+PRE,0.003017426013636812
PZA+RIF,0.004668131880262178
BDQ+DEL,-0.0005776888110353714
BDQ+LIN+PRE,-0.0012074131188279374
LIN+PRE,-0.001852322482872932
INH+PZA,-0.0006800252115458503
LIN+PRE,-0.001819587816138155
EMB+MOX+PZA+RIF,0.003300122982138502
EMB+INH+PZA+RIF,0.00008137657368127459
EMB+MOX+PZA+RIF,0.0026878456894924158
EMB+INH+PZA+RIF,0.0027608420056558607
BDQ+PRE,0.0009038047175137581
