Compound,SHAP
BDQ+LIN,-0.006232686234960405
MOX+RIF,-0.00033890290478336263
INH+PZA,-0.0012490767208172976
BDQ+PRE,-0.0004635382597131472
BDQ+LIN+PRE,0.001058455950660548
PZA+RIF,0.0013533397840198907
BDQ+LIN+PRE,0.005894354730786817
MOX+RIF,0.0006318734238365622
BDQ+DEL,-0.006355126322481693
EMB+INH+PZA+RIF,0.0034096898405606775
INH+PZA,-0.003053550988322506
MOX+RIF,-0.0020885007398403262
LIN+PRE,-0.0018360960919886176
BDQ+PRE,-0.000011623378409274417
BDQ+DEL,-0.00041380376075659555
PZA+RIF,-0.0026273713142218936
MOX+RIF,-0.0009586039526885914
BDQ+DEL,-0.0004945022062535365
PZA+RIF,0.0023075813587219705
EMB+INH+PZA+RIF,-0.0009866546507602096
BDQ+PRE,-0.0015164163060477972
BDQ+LIN+PRE,0.0038004658288921978
LIN+PRE,-0.003490509082172715
PZA+RIF,0.0041368670508839375
LIN+PRE,0.002200634668976356
INH+PZA,-0.00511078136906219
BDQ+LIN,-0.006234378685842158
EMB+MOX+PZA+RIF,0.004245411064022599
BDQ+DEL,-0.0024428420388073204
MOX+RIF,0.002613511381575291
INH+PZA,-0.0037881414743757224
INH+PZA,-0.004658092935170864
EMB+MOX+PZA+RIF,0.006449662899638873
BDQ+PRE,0.0003431519996453789
BDQ+PRE,-0.00035133007425020035
LIN+PRE,0.005682102178689825
MOX+RIF,-0.0030981388901838674
EMB+INH+PZA+RIF,-0.0011811594360127673
PZA+RIF,0.0009004852729832693
EMB+INH+PZA+RIF,-0.0016641496518310771
EMB+MOX+PZA+RIF,0.005382912440167942
LIN+PRE,-0.003918352753544475
PZA+RIF,0.0026651306736802305
INH+PZA,-0.0007716658899030663
EMB+MOX+PZA+RIF,0.007643006361193826
BDQ+PRE,-0.000016430282309981666
BDQ+PRE,-0.00026315529827554337
EMB+INH+PZA+RIF,-0.0025926308316966563
EMB+MOX+PZA+RIF,0.0038614446789837936
BDQ+LIN,-0.0037044789583244105
BDQ+LIN,-0.0066981665775913465
MOX+RIF,-0.0019963992487612267
EMB+MOX+PZA+RIF,0.007679874836184315
BDQ+LIN,-0.0025285392345199688
BDQ+DEL,-0.006878561764090639
MOX+RIF,0.0008168847373938062
EMB+INH+PZA+RIF,-0.0011940172720138803
BDQ+PRE,-0.0014303062334958744
BDQ+PRE,0.0010640136133096998
