Compound,SHAP
BDQ+LIN,-0.0052645297811036145
MOX+RIF,0.0012404034230700301
INH+PZA,-0.0003667497913267974
BDQ+PRE,0.009022687598438453
BDQ+LIN+PRE,0.003719443465942765
PZA+RIF,-0.000698065538934535
BDQ+LIN+PRE,0.0035910047132482613
MOX+RIF,-0.0010070711425101174
BDQ+DEL,-0.0036286616797509548
EMB+INH+PZA+RIF,-0.0018588445355890082
INH+PZA,0.0024906927240899725
MOX+RIF,0.0034213706036396578
LIN+PRE,0.0020395718623517516
BDQ+PRE,0.003499845150661058
BDQ+DEL,-0.003946719851343383
PZA+RIF,-0.0052955057380938255
MOX+RIF,0.0007122154625820333
BDQ+DEL,-0.00202627510667411
PZA+RIF,-0.0005557422882660533
EMB+INH+PZA+RIF,-0.002365265895307308
BDQ+PRE,0.002595577537519765
BDQ+LIN+PRE,0.006574063518090762
LIN+PRE,0.001977570662203216
PZA+RIF,0.0004040889934167431
LIN+PRE,0.004902711727154659
INH+PZA,-0.002327789692806376
BDQ+LIN,-0.009121378323207011
EMB+MOX+PZA+RIF,0.0008825224804976601
BDQ+DEL,-0.0006421198333528612
MOX+RIF,0.008986300572641923
INH+PZA,-0.0035758626432277605
INH+PZA,-0.007175270187865152
EMB+MOX+PZA+RIF,0.004115588407459559
BDQ+PRE,0.003994730683776735
BDQ+PRE,0.0002294897943296839
LIN+PRE,0.0049289018629014554
MOX+RIF,0.005628459963077633
EMB+INH+PZA+RIF,0.0025605540169620447
PZA+RIF,-0.0004337483620829835
EMB+INH+PZA+RIF,-0.005294004085156931
EMB+MOX+PZA+RIF,0.0017015758732244817
LIN+PRE,0.003388114220646883
PZA+RIF,0.0008913067519416942
INH+PZA,0.0024791465426556615
EMB+MOX+PZA+RIF,-0.0003429940497053419
BDQ+PRE,0.006472939177718979
BDQ+PRE,-0.00040303420058099233
EMB+INH+PZA+RIF,-0.004606179270251982
EMB+MOX+PZA+RIF,0.002198259183737343
BDQ+LIN,-0.0040591070126448706
BDQ+LIN,-0.003976627175879926
MOX+RIF,0.0013247895490147556
EMB+MOX+PZA+RIF,0.0057347992131190064
BDQ+LIN,-0.0022754157924544842
BDQ+DEL,-0.0028935275749686702
MOX+RIF,0.0006423865056395168
EMB+INH+PZA+RIF,-0.0034640965299021984
BDQ+PRE,0.003938041819297225
BDQ+PRE,0.006901590651965669
BDQ+DEL,-0.0006563126630352663
MOX+RIF,-0.00245485549972995
BDQ+LIN+PRE,0.004037246865700127
