Compound,SHAP
BDQ+LIN,0.0017541948689817185
MOX+RIF,0.00013219586011815635
INH+PZA,0.0017162788252260168
BDQ+PRE,0.0025265130169983205
BDQ+LIN+PRE,-0.0008172413992666346
PZA+RIF,0.000554429328002527
BDQ+LIN+PRE,-0.0020825317287642524
MOX+RIF,0.006036161751705717
BDQ+DEL,-0.0005027902211364808
EMB+INH+PZA+RIF,-0.000038930190239138477
INH+PZA,0.0007695239748446193
MOX+RIF,0.006396708607617413
LIN+PRE,0.005274477726040292
BDQ+PRE,-0.000164265172368261
BDQ+DEL,-0.0004995556421412998
PZA+RIF,-0.0008890673671923803
MOX+RIF,0.003802204155448336
BDQ+DEL,0.0019468849092719475
PZA+RIF,-0.0007788903305169402
EMB+INH+PZA+RIF,0.0022627693307703312
BDQ+PRE,-0.0023052169453698997
BDQ+LIN+PRE,-0.005085651693026121
LIN+PRE,0.006292531026324043
PZA+RIF,0.0019268481602565026
LIN+PRE,0.005669114777007282
INH+PZA,-0.0002562618647591242
BDQ+LIN,0.0041583272873124575
EMB+MOX+PZA+RIF,0.0030070946870973986
BDQ+DEL,-0.0005740335141021615
MOX+RIF,0.0005391515089824761
INH+PZA,0.0002647265417365768
INH+PZA,-0.0014765561548062559
EMB+MOX+PZA+RIF,0.004453557134377117
BDQ+PRE,0.005454559038998145
BDQ+PRE,0.0022592356851490144
LIN+PRE,0.003196407594850071
MOX+RIF,0.006898960734946155
EMB+INH+PZA+RIF,0.0026315959703731013
PZA+RIF,0.0021060755401963714
EMB+INH+PZA+RIF,0.0007296720690267195
EMB+MOX+PZA+RIF,0.00038727273601054806
LIN+PRE,0.001687766599223649
PZA+RIF,0.0022711226565889473
INH+PZA,0.0023838178636316353
EMB+MOX+PZA+RIF,-0.0023293454670786705
BDQ+PRE,0.003745187438495543
BDQ+PRE,0.00810480473383239
EMB+INH+PZA+RIF,0.0046918237647860074
EMB+MOX+PZA+RIF,-0.00033163085408663087
BDQ+LIN,0.004993987994550171
BDQ+LIN,0.004468983784109096
MOX+RIF,0.00012812778978577835
EMB+MOX+PZA+RIF,0.0016290299231185097
BDQ+LIN,9.285122634890263e-6
BDQ+DEL,-0.0013508966844112218
MOX+RIF,0.0011284331997562598
EMB+INH+PZA+RIF,0.0017702198302834763
BDQ+PRE,0.007962850992502664
BDQ+PRE,0.0037643003663479255
BDQ+DEL,-0.0034289365539054944
MOX+RIF,-0.0003744210835643872
BDQ+LIN+PRE,0.0003070940501469963
EMB+INH+PZA+RIF,0.00016023978349446883
LIN+PRE,0.0010362104378708167
PZA+RIF,0.001186141068626688
BDQ+PRE,0.0021926287592005417
EMB+MOX+PZA+RIF,-0.0007781835601039751
MOX+RIF,-0.0034686387751550712
BDQ+LIN,0.0011496030530776039
BDQ+DEL,-0.0015416127514422358
BDQ+LIN,-0.0009194558869207048
BDQ+LIN,0.00033525573168525645
BDQ+LIN+PRE,-0.0023518459721354966
INH+PZA,0.0019102984692850379
PZA+RIF,0.0019168437563233933
INH+PZA,0.00008741162126879905
BDQ+LIN+PRE,-0.001111174613761098
EMB+MOX+PZA+RIF,-0.0019990180708495215
MOX+RIF,0.002363682924148893
BDQ+PRE,0.001936263043719115
BDQ+LIN,0.005830385094088424
MOX+RIF,-0.0007976029019046525
BDQ+PRE,0.005892151833731447
INH+PZA,-0.003402389658437623
BDQ+LIN,0.005360252230771333
INH+PZA,-0.0035856006769592118
EMB+MOX+PZA+RIF,0.00007323330289395045
INH+PZA,0.00025504320453013165
BDQ+DEL,0.00026690744123547723
BDQ+PRE,0.0019561328707194334
BDQ+LIN+PRE,-0.0028471289658022307
INH+PZA,0.0011157670349809382
EMB+MOX+PZA+RIF,-0.0020256720021698507
EMB+INH+PZA+RIF,0.00024445813865603096
