Compound,SHAP
BDQ+LIN,0.004259718870683286
MOX+RIF,0.0007147998343091925
INH+PZA,0.0029393922720815607
BDQ+PRE,0.00298634020981997
BDQ+LIN+PRE,-0.004042417051455646
PZA+RIF,0.0004267611179772518
BDQ+LIN+PRE,0.0006056723198169598
MOX+RIF,-0.0003826142480630643
BDQ+DEL,0.0021048886377012686
EMB+INH+PZA+RIF,0.0049164812907429144
INH+PZA,-0.0037658797293114933
MOX+RIF,0.000881025253482695
LIN+PRE,0.0066659993812799604
BDQ+PRE,0.0008587664784664255
BDQ+DEL,0.0011129093297403772
PZA+RIF,0.004263239412566255
MOX+RIF,0.0023517565755589564
BDQ+DEL,0.0020905299892715564
PZA+RIF,0.00983106580918276
EMB+INH+PZA+RIF,0.002912550057513452
BDQ+PRE,0.0010915997152614024
BDQ+LIN+PRE,0.0006429958965473354
LIN+PRE,0.003618440787731767
PZA+RIF,0.0019438821384359505
LIN+PRE,0.011255261382118837
INH+PZA,0.003471160817283617
BDQ+LIN,-0.0006709987137120945
EMB+MOX+PZA+RIF,0.0074182993123605165
BDQ+DEL,0.0001566464370170314
MOX+RIF,0.0014164972973308878
INH+PZA,-0.000386859857774326
INH+PZA,0.0007724483341919884
EMB+MOX+PZA+RIF,0.004655347272933425
BDQ+PRE,0.0014027518444824669
BDQ+PRE,-0.0021329495609600166
LIN+PRE,0.013975298484118834
MOX+RIF,0.005090637388752484
EMB+INH+PZA+RIF,0.004388065447094197
PZA+RIF,0.00008260118655707947
EMB+INH+PZA+RIF,0.0018340131315230746
EMB+MOX+PZA+RIF,0.002164149386073427
LIN+PRE,-0.0033625702012754673
PZA+RIF,0.0018118749060397924
INH+PZA,0.0022619415631779955
EMB+MOX+PZA+RIF,0.003827745959427328
BDQ+PRE,0.004131366298301999
BDQ+PRE,0.0006027435246179645
EMB+INH+PZA+RIF,-0.0017367321124298859
EMB+MOX+PZA+RIF,0.0008001978510191955
BDQ+LIN,0.01403418966822485
BDQ+LIN,0.0019015453729471314
MOX+RIF,0.001227120427964925
EMB+MOX+PZA+RIF,0.003055359451576346
BDQ+LIN,0.001778604226664731
BDQ+DEL,0.0022475066333958126
MOX+RIF,0.0005617068659232682
EMB+INH+PZA+RIF,0.0029111949637259044
BDQ+PRE,-0.000589110995977113
BDQ+PRE,0.0016247795037565942
BDQ+DEL,0.003645482263997482
MOX+RIF,0.0015689628365351139
BDQ+LIN+PRE,0.0005020207296773048
