Compound,median,mean,std,n
BDQ+DEL,-0.003387566434975283,-0.00465090791886154,0.005948986902542935,20
MOX+RIF,-0.0013069203961393167,-0.002224505536072066,0.0029031513951188353,24
BDQ+PRE,-0.0011508216154098112,-0.002140730641662177,0.003253104769006387,23
INH+PZA,-0.00072850395237814,-0.0018923688692412954,0.0031608737486601484,20
LIN+PRE,0.0006323241968893633,0.0018157223984811793,0.0037195188280883386,21
BDQ+LIN,0.0007784380193818358,0.0016719851128428607,0.003892137792156304,22
PZA+RIF,0.0013466381459546128,0.0015973892440633844,0.0027260503972933864,22
BDQ+LIN+PRE,0.0014470441946157504,0.003160252624477756,0.004552493427481256,21
EMB+MOX+PZA+RIF,0.0019306213973464999,0.002804036840844862,0.002138776614955468,24
EMB+INH+PZA+RIF,0.0025564317386706395,0.0035363041629434457,0.0024638107508330493,15
