Compound,median,mean,std,n
INH+PZA,-0.0008061940158571238,-0.001464244015276053,0.0038704156394902384,20
MOX+RIF,-0.0007473742938164786,-0.0015179299642757889,0.003361636012584602,24
BDQ+LIN,-0.0006431670955447153,-0.001084418389680846,0.002035194599629288,22
LIN+PRE,-0.0006127599855982505,-0.0004239739408166435,0.0019544086344238445,21
BDQ+LIN+PRE,-0.0006049294168100572,0.00021122753436930076,0.0036219904497457292,21
BDQ+DEL,-0.00036067141982428326,-0.0007396949637262791,0.002571507220416933,20
BDQ+PRE,0.0007082105940161555,0.0009103326662431032,0.002382002972065372,23
PZA+RIF,0.0017912742787426585,0.001894541989562325,0.0011106251160384142,22
EMB+INH+PZA+RIF,0.00248837044060572,0.0033220669748865233,0.002844251142804014,15
EMB+MOX+PZA+RIF,0.004342071607283314,0.004554480508803507,0.0018856477872534246,24
