Compound,median,mean,std,n
BDQ+LIN,-0.002705682738596048,-0.0036324528727049287,0.0036415090898721677,22
BDQ+DEL,-0.002080864698078047,-0.002412928298068493,0.005567899303540255,20
INH+PZA,-0.0015388198483314466,-0.0013682259044231382,0.003493944217599347,20
MOX+RIF,-0.0009600512979004097,-0.0008153241903100391,0.0027944681606540353,24
PZA+RIF,0.00027723889139641894,0.00026051299231418575,0.00284624294129234,22
LIN+PRE,0.0006090685951903828,0.00043571544121127654,0.002778218826016965,21
BDQ+LIN+PRE,0.0008479489916218644,0.0009418074094969159,0.003538432127913057,21
EMB+INH+PZA+RIF,0.0010001469383601543,0.0027185808891152055,0.005280268085005529,15
BDQ+PRE,0.0017583152903430158,0.001888070948825732,0.004962500045674425,23
EMB+MOX+PZA+RIF,0.004387801748823418,0.005478584792130269,0.003400840271529057,24
