Compound,median,mean,std,n
BDQ+LIN,-0.004303166741154651,-0.004871226306760551,0.0037534089240852213,22
INH+PZA,-0.0018755440443321667,-0.0022096504329182946,0.0028485278087235348,20
BDQ+DEL,0.00011758335652938963,0.0007419130797152046,0.0031570925944218314,20
BDQ+LIN+PRE,0.0006195850833466308,0.001178385432750118,0.0024633318831531353,21
MOX+RIF,0.0007273914159098534,0.0005278153455438272,0.002098224336961896,24
PZA+RIF,0.0007917603351961988,0.0005200337064089558,0.002813686152377741,22
BDQ+PRE,0.000863650314946553,0.0010518222329493814,0.0023690251853724534,23
EMB+INH+PZA+RIF,0.0009113223976620536,0.0009143261336290649,0.0031626957144812663,15
LIN+PRE,0.002194201270676872,0.003997824493699055,0.004687903627695797,21
EMB+MOX+PZA+RIF,0.0034547061030998907,0.003991932268556643,0.002467269601589951,24
