Compound,median,mean,std,n
PZA+RIF,-0.003518239978676896,-0.0035082930082846993,0.001537943872263217,22
INH+PZA,-0.0016512240767596856,-0.003478778744403831,0.004324060882937011,20
MOX+RIF,-0.0011034378557258587,-0.0021627962564298255,0.0028794743523040357,24
LIN+PRE,-0.0005915537029518833,-0.00011415465455753353,0.003618731962871485,21
EMB+INH+PZA+RIF,0.000066546870354908,-0.00013806804030728332,0.0013386283012265473,15
BDQ+DEL,0.0007702598419399596,0.0007673003776377718,0.0014447433142545404,20
BDQ+LIN,0.0011512217859840084,0.0011975427874718727,0.0008604013889495004,22
BDQ+LIN+PRE,0.0019325656450330975,0.00313183148886302,0.0034305933310327936,21
BDQ+PRE,0.0026834277197829923,0.0029152740148334923,0.0014093602898656759,23
EMB+MOX+PZA+RIF,0.0030176714479403666,0.00408922631757787,0.003385033627528561,24
