Compound,median,mean,std,n
LIN+PRE,-0.0024850659814995763,-0.0026450393376772326,0.00175323403033688,21
MOX+RIF,-0.002416609863607661,-0.002506903661499953,0.0024262890814863267,24
BDQ+PRE,-0.001715858571301435,-0.001691422621752131,0.0018816850007781953,23
INH+PZA,-0.0016700650530383767,-0.0021790475193069272,0.0025087409196082175,20
BDQ+DEL,-0.0015693057402767186,-0.0019895472504921595,0.0028331134964830174,20
PZA+RIF,-0.0014791338075975538,-0.0015471635586724985,0.0013649748261288332,22
BDQ+LIN+PRE,-0.0008448302847764619,-0.0008730219936782172,0.0027788563064069607,21
BDQ+LIN,0.0017015914205177705,0.0013442229434872184,0.0017124522332206311,22
EMB+MOX+PZA+RIF,0.001923138473394715,0.0026234475290673256,0.0017678533569226765,24
EMB+INH+PZA+RIF,0.004406733974623714,0.005066551121347494,0.002720662746419095,15
