Compound,median,mean,std,n
BDQ+DEL,-0.003614987510505132,-0.003125688118877,0.001609409619373744,20
BDQ+LIN,-0.0035953262394723745,-0.0034105703656138477,0.001817726636555089,22
INH+PZA,-0.0020307035583470466,-0.003576835048692081,0.0039446621981956064,20
PZA+RIF,-0.001982429173229988,-0.0018589047662169874,0.0009399654967274412,22
MOX+RIF,0.00024137616442625136,0.00010004904115025477,0.001243711709225124,24
BDQ+PRE,0.0003586195630960724,0.00022349223430121788,0.003102548419384566,23
LIN+PRE,0.0007505681187193856,0.001988001662140815,0.0033519838940782817,21
BDQ+LIN+PRE,0.001861339718155236,0.002940944442253253,0.003430434832643504,21
EMB+MOX+PZA+RIF,0.0018859543293502888,0.0021674092279657,0.0019337639576700355,24
EMB+INH+PZA+RIF,0.0021327002008154844,0.002838330742707426,0.002387057840973017,15
