Compound,median,mean,std,n
BDQ+LIN,-0.005854211564734103,-0.005940541131957975,0.004932310101321172,22
BDQ+LIN+PRE,-0.005170283370017541,-0.006520261952771632,0.00543554242440153,21
EMB+INH+PZA+RIF,-0.004225625338185777,-0.004139876567880361,0.0058908246502332616,15
MOX+RIF,-0.0017987535034502573,-0.002299571341377496,0.002803734290100732,24
BDQ+DEL,-0.0016534568873551436,-0.0024872136211581877,0.005060945087414319,20
BDQ+PRE,-0.0008830397574587696,-0.0012472348520412954,0.0036774089955726452,23
PZA+RIF,0.0010009200824806586,0.00039543184078480546,0.002840976309319683,22
LIN+PRE,0.0018503982617255098,0.003068582434638097,0.0031810343489696875,21
INH+PZA,0.002355286650886289,0.0025839896678149436,0.0029534919682327144,20
EMB+MOX+PZA+RIF,0.005254766332044913,0.010438070764891524,0.010360442373604157,24
