Compound,median,mean,std,n
INH+PZA,-0.005371855958678358,-0.005666134526282357,0.00250897833407557,20
BDQ+DEL,-0.003069630068605917,-0.004092759291941557,0.0032929312662163374,20
MOX+RIF,-0.002694226474690901,-0.0032542605221942255,0.0022331447288401404,24
BDQ+LIN+PRE,-0.001514255002287675,-0.002211102651507714,0.0022877653528276315,21
BDQ+PRE,0.00027434404489784926,0.00019417670774467055,0.0019748156745140267,23
LIN+PRE,0.0017321774507132908,0.0016868818348014702,0.003050283169326887,21
BDQ+LIN,0.0019108583068988259,0.0014455304175425502,0.002105571425166504,22
EMB+INH+PZA+RIF,0.0022779368735420763,0.004361199797450433,0.004037018728435145,15
PZA+RIF,0.0030200474056639457,0.0034670474947208455,0.002630421689587246,22
EMB+MOX+PZA+RIF,0.005326258105364657,0.00539114535048786,0.0027216548304207487,24
