Compound,median,mean,std,n
BDQ+DEL,-0.005731279388918524,-0.004791169637708937,0.002928985052520277,20
BDQ+LIN,-0.005456426406076381,-0.005556483558707721,0.0027870917717747385,22
BDQ+LIN+PRE,-0.005238258984970646,-0.004316353148835866,0.0031641177352975452,21
BDQ+PRE,-0.0033936183458639587,-0.003150833575091176,0.0025878030017835465,23
EMB+INH+PZA+RIF,-0.0013234356069642714,-0.0005444256457269172,0.0025330114579247653,15
INH+PZA,0.0005565798583320911,0.00006698916102599182,0.0025148249489663466,20
MOX+RIF,0.0014260743349722394,0.0019557950411379205,0.0033412786408997565,24
LIN+PRE,0.00329047086887427,0.0044760534336097,0.0031446076015374494,21
PZA+RIF,0.0036813170331142803,0.0043002149599025005,0.002860584859679528,22
EMB+MOX+PZA+RIF,0.005521887322030759,0.006295543679349653,0.0031334067024288382,24
