Compound,median,mean,std,n
MOX+RIF,-0.0027463162639028977,-0.003439493142858196,0.0033435564659897313,24
INH+PZA,-0.0025150447992964287,-0.003130008657655346,0.002461339595324592,20
BDQ+DEL,-0.001172808095954634,-0.0016729240760589904,0.001637072517142047,20
EMB+INH+PZA+RIF,-0.0009128856588164335,-0.001378921138371318,0.004013971220200725,15
BDQ+LIN+PRE,-0.0005555636600300114,-0.00125170932633913,0.0037806444298425818,21
BDQ+PRE,0.00014830519323129018,0.0003870539640657763,0.0014047605589384868,23
BDQ+LIN,0.00020266058685867544,-0.00014553482763268646,0.002408282767837932,22
PZA+RIF,0.0010669075525096155,0.0014930040766079824,0.0019933079306363186,22
LIN+PRE,0.0013189173106781763,0.002554009964686565,0.0034791743505628832,21
EMB+MOX+PZA+RIF,0.0041098331241063435,0.00656673733961148,0.004831686939230105,24
