Compound,median,mean,std,n
BDQ+LIN,-0.0034157195558746625,-0.0036199795189775824,0.0036054845979441594,22
INH+PZA,-0.002256347870300937,-0.0024609633869217907,0.0025606518212558634,20
MOX+RIF,-0.0015800337543220911,-0.001500205475823124,0.0018799918266280832,24
BDQ+DEL,-0.0014406290249648914,-0.001770679009630623,0.0029281060231029802,20
LIN+PRE,0.0009096421844836913,0.001411878586770283,0.0023166370231823704,21
EMB+INH+PZA+RIF,0.0009470385739426917,0.0012588532363795545,0.0021503924882842595,15
BDQ+LIN+PRE,0.0010768601519879277,0.0019278151455998074,0.007263130610150129,21
BDQ+PRE,0.00109568596475039,0.0010151593392960306,0.0017771998348993757,23
PZA+RIF,0.0019673566589046205,0.0024471493278924177,0.0017838979123444305,22
EMB+MOX+PZA+RIF,0.0036976151376113017,0.004413478482547662,0.002934886267691415,24
