Compound,median,mean,std,n
BDQ+DEL,-0.004402446359933228,-0.00429776364885315,0.0021380471428118332,20
BDQ+LIN,-0.0036422847004952815,-0.003260885958715574,0.0020633558004811516,22
LIN+PRE,-0.0011187940678883785,-0.0013042730266671447,0.00170569745968355,21
MOX+RIF,-0.0006973123172099444,-0.0008001235491209829,0.0017042597766957347,24
INH+PZA,-0.0006133683731333888,-0.000705192565294669,0.002066688075828721,20
BDQ+LIN+PRE,-0.00015163074076329877,-0.0002643442784023782,0.002180125716707199,21
EMB+MOX+PZA+RIF,0.0005553157335764738,0.0009939405955706386,0.002382554027997905,24
BDQ+PRE,0.0005602407240603604,0.00042212162949854185,0.0031821083493049135,23
PZA+RIF,0.0008230407000802717,0.0011440327975405769,0.0014866009710872085,22
EMB+INH+PZA+RIF,0.003256428243802543,0.003667515810552325,0.0028673489974773204,15
