Compound,median,mean,std,n
BDQ+DEL,-0.005542766957283932,-0.006068223492645073,0.0047964699966308024,20
INH+PZA,-0.00507878784153938,-0.005363973075019001,0.0033412276166747785,20
MOX+RIF,-0.004151636267623358,-0.004720149879362844,0.00342874122872013,24
BDQ+LIN,-0.003944870764016921,-0.005103936730569775,0.0033278291350319154,22
EMB+INH+PZA+RIF,-0.0013202045355220579,-0.002744446638005767,0.0036122660891315544,15
BDQ+LIN+PRE,-0.0005625897392713105,-0.0009497874331384512,0.00526723824591297,21
BDQ+PRE,0.0013024491691733342,0.0019373636104177987,0.0024653005761252037,23
LIN+PRE,0.0035141914719657914,0.00497963336523206,0.005308340263285776,21
PZA+RIF,0.0035274992340372066,0.004066213296173993,0.002267841591649881,22
EMB+MOX+PZA+RIF,0.009661133615902815,0.011315770509373662,0.006192770919987706,24
