Compound,median,mean,std,n
BDQ+LIN,-0.0027096902100982347,-0.0029318114087864095,0.001650048019350712,22
MOX+RIF,-0.0021027212138423996,-0.0025890340748011323,0.0020556510711639982,24
BDQ+PRE,-0.0014471481113159123,-0.0010923537729214219,0.0016380829177659818,23
BDQ+DEL,-0.0012649621701025994,-0.001654839734209345,0.0019983040975103824,20
BDQ+LIN+PRE,-0.0011775139837072492,-0.0012544273968005588,0.0022274730481671133,21
INH+PZA,-0.0008107488036247336,-0.0008533420019225475,0.0016367793618709537,20
EMB+INH+PZA+RIF,0.0003308485182975609,0.0005687720772638669,0.0019244603824955697,15
LIN+PRE,0.0004106163050983401,0.0010550049774034132,0.0032604433153550377,21
PZA+RIF,0.0031799028750536616,0.002617205872534447,0.0025509128234770294,22
EMB+MOX+PZA+RIF,0.005191064337244422,0.0052153792901394914,0.002256846501505537,24
