Compound,median,mean,std,n
BDQ+LIN,-0.005392466976856542,-0.004629988887803036,0.002222135694721796,22
INH+PZA,-0.0034428846109194012,-0.0033187669067158572,0.002512932262290198,20
BDQ+DEL,-0.002891395970915041,-0.002831248922514121,0.0035244790562601936,20
LIN+PRE,-0.0018360960919886176,-0.0011134156285396264,0.00393590853510364,21
BDQ+PRE,-0.0009422754931264814,-0.0009022931191736671,0.0011621704608965455,23
MOX+RIF,-0.0002791212431326165,-0.000535713738628741,0.0017633909543877833,24
EMB+INH+PZA+RIF,0.0002309343456509742,0.0005450526544150253,0.0023995447618037893,15
PZA+RIF,0.0024863560162011007,0.0025886122673281398,0.0023123290717070107,22
BDQ+LIN+PRE,0.00421724064667891,0.004041597559381804,0.0033096923767021447,21
EMB+MOX+PZA+RIF,0.005899746004978226,0.00609458280787671,0.0031965745462991814,24
