Compound,median,mean,std,n
BDQ+LIN,-0.004394647956981837,-0.004744942313876243,0.0038955071616530107,22
BDQ+DEL,-0.0020948345732427903,-0.002010237226530697,0.0017791600121025814,20
EMB+INH+PZA+RIF,-0.0018588445355890082,-0.0016422903772518721,0.0022211965817003493,15
PZA+RIF,-0.0006269039136002942,-0.0008282838699041124,0.0017802276957770127,22
INH+PZA,-0.0003806964296959242,-0.0008562722803775432,0.0028519691560282,20
MOX+RIF,0.00006266943767134371,0.0004766953201983287,0.0031532591005712226,24
EMB+MOX+PZA+RIF,0.0017539391710870466,0.002127037877714623,0.0016789710516827946,24
BDQ+PRE,0.002635228581999091,0.003333479439094927,0.0029015489034986,23
LIN+PRE,0.002889538431364793,0.004067068632535766,0.0022146647399959307,21
BDQ+LIN+PRE,0.00387745737306572,0.0046317008123192335,0.003671676558038892,21
