Compound,median,mean,std,n
BDQ+LIN+PRE,-0.0023518459721354966,-0.00184938026664074,0.0026682209759882575,21
EMB+MOX+PZA+RIF,-0.00038959774302185356,-0.0002108722633063278,0.0023757100739937617,24
BDQ+DEL,-0.0001324981658222876,0.000601847949612336,0.002314787465243703,20
INH+PZA,0.00043842786944442446,0.0001599166336683433,0.0016852988517705645,20
EMB+INH+PZA+RIF,0.0010779774899931432,0.001254930415745806,0.0018447253092090479,15
BDQ+LIN,0.001229978830277324,0.0016769903037993931,0.0029071551724830346,22
PZA+RIF,0.001921845958289948,0.00233779016440343,0.002544451426777643,22
MOX+RIF,0.0021238743745722946,0.0029402458368516997,0.0034604826877145793,24
BDQ+PRE,0.0021926287592005417,0.0022603643896552967,0.002793668625161716,23
LIN+PRE,0.0034546817745759713,0.0040580165123007194,0.002851675631754384,21
