Compound,median,mean,std,n
BDQ+LIN+PRE,0.00039764984520439077,-0.00005990861410500185,0.0014998443048345282,21
MOX+RIF,0.0007979125438959437,0.000707329776997563,0.0017375350812448378,24
INH+PZA,0.0008062036753865517,0.0008188311599070736,0.0023808149454151335,20
BDQ+PRE,0.0010683624535677235,0.0009510719697520427,0.0016040904822783421,23
BDQ+DEL,0.0014274708290381317,0.0013000488413776891,0.0012970397972717684,20
BDQ+LIN,0.0019143703811734815,0.001879879491260168,0.0038116464581303806,22
PZA+RIF,0.0026967630404814424,0.003119780877611127,0.00334835961792213,22
EMB+INH+PZA+RIF,0.002893289857998474,0.0027660680676393963,0.0019858130433235447,15
EMB+MOX+PZA+RIF,0.004590700848461644,0.005396942449944676,0.0037292724948606287,24
LIN+PRE,0.0066659993812799604,0.007110658020957829,0.004523962257364537,21
